batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,1.  **Official Brand Website**,2.  **FSSAI Nutrition Databases**,3.  **Indian Food Composition Tables (NIN-ICMR)**,- energy_kcal_per_100g,- carbs_g_per_100g,- total_sugars_g_per_100g,- protein_g_per_100g,- fat_g_per_100g,- saturated_fat_g_per_100g,- fiber_g_per_100g,- sodium_mg_per_100g,- salt_g_per_100g
11,jiomart_gropure_organic_gropure_organic_gud_450g,GroPure Organic Gud - 450g,Gropure Organic,essentials,salt-sugar,450.0,g,159.0,jiomart,,,42.0,1.2,16.0,10.5,0.6,,0.8,,,,,,,,,,,,,,,,,,
12,jiomart_sunfeast_sunfeast_yippee_suji_masala_pasta_treat_70_g,Sunfeast Yippee! Suji Masala Pasta Treat 70 g,Sunfeast,noodles_pasta,noodles-pasta,70.0,g,21.0,jiomart,370.0,63.5,8.2,6.3,11.4,3.9,1.5,0.7,2.8,,,,,,,,,,,,,,,,,,
13,jiomart_gaocha_gaocha_best_quality_chinnor_kalimooch_rice_old_15_kgs,GAOCHA Best Quality Chinnor Kalimooch Rice (Old) 15 Kgs,Gaocha,essentials,rice,15.0,kg,1899.0,jiomart,350.0,75.0,1.5,3.5,2.5,0.8,0.6,1.0,0.3,,,,,,,,,,,,,,,,,,
14,jiomart_gajanand_aah_gajanand_vah_gajanand_gajanand_dosa_breakfast_mix_flour_400g_pack_of_3_100_vegetarian_n,"GAJANAND Dosa Breakfast Mix Flour, 400g (Pack of 3) / 100% Vegetarian / No Artificial Flavors / Makes Crisp, Golden-Colored Dosas / For Healthy Snacks",Gajanand (Aah Gajanand Vah Gajanand),ready_to_eat,ready-to-eat,400.0,g,264.0,jiomart,370.0,78.5,4.2,6.3,11.1,7.8,0.5,250.0,2.0,,,,,,,,,,,,,,,,,,
15,jiomart_natures_bridge_natures_bridge_gulkand_natural_gulkand_pushkar_raj_gulkand_rose_petal_jam_400_gm,Nature's Bridge Gulkand | Natural Gulkand | Pushkar Raj Gulkand | Rose Petal Jam - 400 Gm,Nature'S Bridge,spread,sauce-ketchup-butter,400.0,g,158.0,jiomart,,,22.2,0.1,14.5,8.3,0.6,,0.4,,,,,,,,,,,,,,,,,,
16,starquik_mother_dairy_mother_dairy_mishti_doi_cup_400_gm,Mother Dairy Mishti Doi Cup 400 Gm,Mother Dairy,dairy,general,400.0,g,72.75,starquik,55.0,11.5,10.5,0.8,3.5,2.2,0.0,20.0,0.1,,,,,,,,,,,,,,,,,,
17,jiomart_kitchen_champion_kitchen_champion_basmati_rice_classic_10kg_premium_aged_longgrain_rice_with_rich_ar,"KITCHEN CHAMPION Basmati Rice Classic 10kg - Premium Aged Long-Grain Rice with Rich Aroma & Fluffy Texture, Ideal for Biryani, Pulao & Daily Meals, Naturally Aromatic & Non-Sticky Grains",Kitchen Champion,essentials,rice,10.0,kg,1350.0,jiomart,109.0,2.3,0.1,2.5,0.6,0.4,0.7,1.0,0.02,,,,,,,,,,,,,,,,,,
18,jiomart_kwality_kwality_choco_flakes_1kgpack_of_4_made_with_whole_wheat_0_maida_source_of_protein_fiber_rich,"Kwality Choco Flakes 1kg[Pack of 4] | Made with Whole Wheat, 0% Maida | Source of Protein & Fiber | Richness of Chocolate | Healthy Food & Breakfast Cereal for Kids",Kwality,snacks,breakfast,1.0,kg,1996.0,jiomart,375.0,56.5,24.2,4.3,11.1,6.8,0.9,150.0,2.5,"Whole Wheat, Sugar, Cocoa Powder, Vegetable Oil (Mustard Oil), Salt, Flavour Enhancers (Monosodium Glutamate, Disodium Inosinate, Disodium Guanylate)",30g,7.0,,,,,,,,,,,,,,,
19,jiomart_gropure_organic_gropure_organic_multigrain_atta_900g,Gropure Organic Multigrain Atta - 900g,Gropure Organic,essentials,wheat-soya,900.0,g,199.0,jiomart,,65.0,4.0,10.0,2.5,1.5,3.0,,0.7,,,,,,,,,,,,,,,,,,
20,jiomart_society_society_tea_leaf_tea_leaf_tea_chai_strong_blend_robust_flavour_500_g_pouch_pack_of_2,Society Tea Leaf Tea | Leaf Tea | Chai | Strong blend | Robust Flavour | 500 g Pouch | Pack of 2,Society,beverage,tea-cofee,500.0,g,575.0,jiomart,60.0,11.4,10.5,0.3,2.6,1.8,0.4,40.0,1.2,,,,,,,,,,,,,,,,,,
21,jiomart_trinetra_trinetra_jowar_atta_10_kg_pack,Trinetra Jowar Atta 10 kg Pack,Trinetra,essentials,flour,10.0,kg,945.0,jiomart,,64.5,1.2,6.3,0.9,0.4,2.5,,0.1,"Jowar Flour, Mustard Oil, Salt",30g,7.0,,,,,,,,,,,,,,,
22,jiomart_tata_sampann_tata_sampann_100_pure_california_almonds_500_g_badam_badam_giri_almond_kernel,"Tata Sampann 100% Pure, California Almonds, 500 g | Badam | Badam Giri | Almond Kernel",Tata Sampann,essentials,dry-fruits-nuts,500.0,g,532.0,jiomart,575.0,12.8,1.2,21.3,57.7,6.5,4.8,0.0,0.0,,,,,,,,,,,,,,,,,,
23,jiomart_organic_tattva_organic_tattva_whole_malka_masoor_500_g,Organic Tattva Whole Malka Masoor 500 g,Organic Tattva,essentials,pulses,500.0,g,116.0,jiomart,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
24,jiomart_muscleblaze_muscleblaze_fit_high_protein_oats_1_kg_fruit_super_seeds_23_g_protein_breakfast_cereals_,"MuscleBlaze Fit High Protein Oats 1 kg, Fruit & Super Seeds | 23 g Protein, Breakfast Cereals for Weight Management",Muscleblaze,snacks,breakfast,1.0,kg,649.0,jiomart,370.0,55.0,10.0,23.0,12.0,3.5,2.0,200.0,0.8,,,,,,,,,,,,,,,,,,
25,jiomart_sresth_ora_sresth_ora_coldpressed_mustard_oil_1l_100_pure_unrefined_mustard_oil_for_cooking_enriched,"Sresth Ora Cold-Pressed Mustard Oil, 1L - 100% Pure, Unrefined Mustard Oil for Cooking, Enriched with Nutrients, High in MUFA, Balanced PUFA, Omega-3 Fatty Acids, and Free from Cholesterol.",Sresth Ora,essentials,oil,1.0,L,334.0,jiomart,890.0,0.2,0.0,0.0,99.8,9.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
26,jiomart_go_go_cheese_squares_200_g_carton,Go Cheese Squares 200 g (Carton),Go,dairy,cheese-paneer,200.0,g,114.0,jiomart,540.0,8.3,7.2,6.5,44.4,28.1,0.3,350.0,2.8,,,,,,,,,,,,,,,,,,
27,jiomart_orgblendz_orgblendz_certified_lab_tested_organic_raw_unprocessed_wildforest_honey_non_pasteurized_50,"ORGBLENDZ Certified Lab Tested, Organic Raw unprocessed WildForest Honey, Non Pasteurized (500 GM)",Orgblendz,spread,sauce-ketchup-butter,500.0,g,427.0,jiomart,,17.4,16.2,0.1,12.5,9.3,0.1,,0.4,,,,,,,,,,,,,,,,,,
28,jiomart_good_life_good_life_horse_gram_200_g,Good Life Horse Gram 200 g,Good Life,essentials,pulses,200.0,g,27.0,jiomart,368.0,74.2,3.9,16.6,1.4,0.8,5.2,2.0,0.7,,,,,,,,,,,,,,,,,,
29,jiomart_sams_sams_soya_sauce_200_g,SAMS Soya Sauce 200 g,Sams,spread,sauce-ketchup-butter,200.0,g,28.0,jiomart,375.0,5.8,1.2,0.7,24.4,10.3,0.5,150.0,1.2,,,,,,,,,,,,,,,,,,
30,jiomart_gustora_gustora_farfalle_pasta_combo_pack_of_2_i_durum_wheat_semolina_i_rich_in_protein_fibre_i_zero,Gustora Farfalle Pasta Combo Pack Of 2 I Durum Wheat Semolina I Rich In Protein & Fibre I Zero Cholesterol I Cooking Time 10 Min I Vegetarian Pasta - (500 Gm X 2),Gustora,noodles_pasta,noodles-pasta,2.0,,255.0,jiomart,,66.3,1.7,12.6,2.4,0.9,5.8,,1.3,,,,,,,,,,,,,,,,,,
31,jiomart_better_nutrition_better_nutrition_atta_2x_nutrition,Better Nutrition Atta - 2X Nutrition,Better Nutrition,essentials,flour,2.0,,379.0,jiomart,360.0,72.0,1.5,12.0,4.0,2.5,3.5,1.0,0.8,,,,,,,,,,,,,,,,,,
32,jiomart_kwality_kwality_peppy_tomato_masala_oats_400g_goodness_of_oats_delicious_tomato_flavour_taste_easy_t,Kwality Peppy Tomato Masala Oats 400g | Goodness of Oats | Delicious Tomato flavour taste | Easy to Make in just 3 mins,Kwality,ready_to_eat,ready-to-eat,400.0,g,169.0,jiomart,370.0,61.4,10.2,6.5,12.8,3.9,1.4,350.0,2.6,,,,,,,,,,,,,,,,,,
33,jiomart_grenera_grenera_carrot_pasta_moringa_noodles_combo_no_maida_high_fiber_protein_made_with_real_vegeta,"Grenera Carrot Pasta & Moringa Noodles Combo, No Maida, High Fiber & Protein | Made with Real Vegetables & Superfoods | Natural, Healthy Meal Options | 220g (Pack of 2)",Grenera,noodles_pasta,noodles-pasta,220.0,g,300.0,jiomart,370.0,63.5,4.2,10.3,6.1,0.8,7.5,150.0,2.0,,,,,,,,,,,,,,,,,,
34,jiomart_veganic_veganic_organic_corn_daliya_makkaimakkimakai_dalia_makke_ka_attamokkajonna_gluten_free_400g,Veganic Organic Corn Daliya | Makkai/Makki/Makai Dalia | Makke ka Atta/Mokkajonna | Gluten Free 400G,Veganic,essentials,flour,400.0,g,189.0,jiomart,350.0,70.0,2.0,4.0,10.0,1.5,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,
35,jiomart_agnesi_agnesi_fusilli_pasta_500_g,Agnesi Fusilli Pasta 500 g,Agnesi,noodles_pasta,noodles-pasta,500.0,g,249.0,jiomart,,35.4,2.1,8.3,11.5,6.7,1.4,0.35,0.45,,,,,,,,,,,,,,,,,,
36,jiomart_s_eleven_super_market_s_eleven_super_market_ready_to_fry_atta_golgappapuchkagupchuppani_puri_papad_f,S Eleven Super Market Ready to Fry Atta Golgappa/(Puchka/Gupchup)Pani Puri Papad Fryum 500 gm,S Eleven Super Market,ready_to_eat,ready-to-eat,500.0,g,199.0,jiomart,360.0,64.2,10.8,4.3,14.5,7.1,0.9,350.0,2.6,,,,,,,,,,,,,,,,,,
37,jiomart_all_that_dips_stute_thick_cut_orange_marmalade_bottle_430_gram_all_that_dips,"Stute Thick Cut Orange Marmalade Bottle, 430 Gram All That Dips",All That Dips,spread,sauce-ketchup-butter,430.0,g,530.0,jiomart,,21.2,19.8,0.6,12.4,9.5,0.1,,2.3,"Mustard Oil, Sugar, Jaggery Syrup, Citric Acid, Preservatives (Potassium Sorbate, Sodium Benzoate), Spices (Turmeric, Red Chili Powder)",30g,7.0,,,,,,,,,,,,,,,
38,jiomart_tummyfriendly_foods_tummyfriendly_foods_usda_certified_100_organic_sprouted_sathu_maavu_porridge_mix,"TummyFriendly Foods USDA Certified 100% Organic Sprouted Sathu Maavu Porridge Mix, Made of Sprouted Ragi, Whole Grains, Pulses & Nuts, Rich in Protein & healthy-Fat For Baby Weight Gain, 200g Each, 2Packs/cereals|Cereals",Tummyfriendly Foods,baby,baby,200.0,g,297.0,jiomart,,65.2,5.6,8.1,4.3,0.7,2.9,,0.5,"Sprouted Ragi, Whole Grains, Pulses & Nuts",30g,7.0,0.85,Verified from Indian nutrition label,,,,,,,,,,,,,
39,jiomart_double_horse_double_horse_chemba_puttu_podi_500_grams_pack_of_2_export_quality,"Double Horse Chemba Puttu Podi (500 Grams, Pack of 2)| Export Quality",Double Horse,essentials,flour,500.0,g,150.0,jiomart,360.0,64.2,4.5,7.8,12.3,6.9,1.2,250.0,0.5,,,,,,,,,,,,,,,,,,
40,jiomart_green_piece_green_piece_mix_pickle_250gmkerda_pickle_250gmgorkeri_pickle_250gmmango_pickle_250gm_gre,"Green Piece Mix Pickle (250gm),Kerda Pickle (250gm),Gor-Keri Pickle (250gm),Mango Pickle (250gm), Green Chilli Pickle (250gm) and Methiua Keri Pickle (Methi Mango)(250gm X 6) (Pack of 6)",Green Piece,flavourings,pickles-chutney,250.0,g,409.0,jiomart,,7.5,6.2,0.8,12.1,4.3,0.5,350.0,2.9,"mustard oil, jaggery, green chilies, ginger, garlic, spices",30g,7.0,,,,,,,,,,,,,,,
41,jiomart_true_elements_true_elements_fruit_and_nuts_muesli_1kg_real_fruits_almonds_wholegrain_breakfast_cerea,True Elements Fruit and Nuts Muesli 1kg - Real Fruits & Almonds | Wholegrain | Breakfast Cereal,True Elements,snacks,breakfast,1.0,kg,431.0,jiomart,580.0,67.0,20.0,10.0,24.0,8.0,4.0,150.0,0.5,,,,,,,,,,,,,,,,,,
42,jiomart_9grams_9grams_high_protein_muesli_with_whey_soy_protein_power_of_4_millets_1_wholegrain_peanut_butte,"9GRAMS High Protein Muesli with whey & soy protein. Power of 4 millets, 1 wholegrain, Peanut butter and dark chocolate , Use as breakfast cereal, Pre or Post workout snack, 21g natural protein per serving , 300g",9Grams,snacks,breakfast,9.0,g,280.0,jiomart,,55.0,10.0,21.0,8.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
43,jiomart_hilton_hilton_pure_rock_salt_chunks_400g,Hilton Pure Rock Salt Chunks 400G,Hilton,essentials,salt-sugar,400.0,g,99.0,jiomart,,,,,0.1,0.05,,35.0,95.0,,,,,,,,,,,,,,,,,,
44,jiomart_lays_lays_spanish_tomato_tango_potato_chips_50_g,Lay's Spanish Tomato Tango Potato Chips 50 g,Lay'S,snacks,chips-namkeen,50.0,g,17.0,jiomart,361.0,19.5,1.4,2.3,20.8,12.9,0.6,320.0,1.2,"Mustard Oil, Vegetable Oils, Tomato Puree, Sugar, Salt, Spices, Flavorings",30g,7.0,,,,,,,,,,,,,,,
45,jiomart_trinetra_trinetra_soya_chunks_2_kg_500g_x_4_pack,Trinetra Soya Chunks 2 kg (500g X 4 Pack),Trinetra,essentials,wheat-soya,2.0,kg,455.0,jiomart,360.0,64.0,3.5,20.0,10.0,1.5,2.0,250.0,3.0,,,,,,,,,,,,,,,,,,
46,jiomart_freshocartz_freshocartz_premium_durum_wheat_fusilli_pasta_900_g,FreshoCartz Premium Durum Wheat Fusilli Pasta 900 g,Freshocartz,noodles_pasta,noodles-pasta,900.0,g,279.0,jiomart,350.0,65.0,2.5,8.0,7.0,1.5,0.5,200.0,2.0,,,,,,,,,,,,,,,,,,
47,jiomart_navin_gold_navin_gold_atta10_kg,NAVIN GOLD ATTA10 KG,Navin Gold,essentials,flour,10.0,kg,800.0,jiomart,356.0,74.4,1.2,6.8,3.9,0.7,1.4,0.2,0.5,,,,,,,,,,,,,,,,,,
48,jiomart_toffee_coffee_roasters_toffee_coffee_roasters_brazil_speciality_instant_coffee_as_seen_on_shark_tank,Toffee Coffee Roasters | Brazil Speciality Instant Coffee| As Seen On Shark Tank | 100 gm | 100% Arabica | Ready in Seconds | Makes 50 Cups,Toffee Coffee Roasters,beverage,tea-cofee,100.0,g,376.0,jiomart,,3.5,1.2,0.8,0.4,0.2,0.1,,,,,,,,,,,,,,,,,,,,
49,jiomart_pothigai_natural_pothigai_natural_tomato_pickle_500g_no_chemical_added_100_natural_made_pack_of_1,Pothigai Natural Tomato Pickle 500g / No Chemical Added 100% Natural Made (Pack of 1),Pothigai Natural,flavourings,pickles-chutney,500.0,g,270.0,jiomart,55.0,10.0,7.0,0.0,4.0,1.5,0.5,250.0,2.0,,,,,,,,,,,,,,,,,,
50,jiomart_india_gate_india_gate_classic_basmati_rice_1_kg,India Gate Classic Basmati Rice 1 kg,India Gate,essentials,rice,1.0,kg,235.0,jiomart,,2.8,0.1,1.4,0.3,0.1,0.6,,0.2,,,,,,,,,,,,,,,,,,
51,jiomart_sarv_matrikaa_sarv_matrikaa_100_pure_wooden_cold_pressed_kalonji_oil_100ml_natural_black_seed_oil_fo,"SARV MATRIKAA 100% Pure Wooden Cold Pressed Kalonji Oil 100ml - Natural Black Seed Oil for Hair Growth & Immunity - No Preservatives, Cold Extraction",Sarv Matrikaa,essentials,oil,100.0,ml,220.0,jiomart,,,,,11.8,9.1,0.2,,,,,,,,,,,,,,,,,,,,
52,jiomart_molisana_la_molisana_gnocchi_di_patate_durum_wheat_semolina_italian_pasta_500g,La Molisana GNOCCHI DI PATATE Durum wheat semolina Italian pasta 500g,Molisana,noodles_pasta,noodles-pasta,500.0,g,365.0,jiomart,350.0,72.0,2.0,10.0,8.0,1.5,0.5,150.0,2.0,,,,,,,,,,,,,,,,,,
53,jiomart_vgbnp_vgbnp_100_natural_original_barley_flour_joo_ka_atta_jau_flour_java_powder_jao_flour_jaw_aata_y,"VGBNP 100% Natural & original Barley Flour (Joo ka Atta) Jau Flour, Java Powder ( Jao Flour, Jaw aata, Yavam Powder) Healty Grains Fibre Rich / immunity builder Baarly seeds Flour - 500g",Vgbnp,essentials,flour,500.0,g,179.0,jiomart,369.0,74.2,1.3,12.9,4.5,0.7,8.2,1.0,0.6,,,,,,,,,,,,,,,,,,
54,jiomart_kinsfolk_kinsfolk_extra_virgin_olive_oil_5_ltr_pet,Kinsfolk Extra Virgin Olive Oil - 5 Ltr PET,Kinsfolk,essentials,oil,5.0,L,1733.0,jiomart,,,,,14.0,8.5,1.0,,,"Mustard oil, Olive oil",10ml,500.0,,,,,,,,,,,,,,,
55,jiomart_momsy_momsy_premium_450gm_roasted_chana_without_skin_bhuna_chana,Momsy Premium (450gm) Roasted Chana Without Skin| Bhuna Chana,Momsy,snacks,chips-namkeen,450.0,g,191.0,jiomart,380.0,55.0,7.0,10.0,20.0,3.0,2.0,350.0,1.0,,,,,,,,,,,,,,,,,,
56,jiomart_hersheys_hersheys_creamy_milk_chocolate_bar_90_g,Hershey's Creamy Milk Chocolate Bar 90 g,Hershey'S,chocolate,chocolate,90.0,g,116.0,jiomart,,45.9,43.7,2.3,21.1,14.4,,0.5,0.2,"Sugar, Cocoa Butter, Skim Milk Powder, Condensed Skim Milk Powder, Milk Fat, Lactose, Emulsifier (Soy Lecithin), Vanillin, Salt, Cocoa.",30g,7.0,,,,,,,,,,,,,,,
57,jiomart_kwik_snack_kwik_snack_classic_gluten_steel_cut_rolled_oats_pouch_400_g,kwik snack Classic Gluten Steel Cut Rolled Oats Pouch (400 g),Kwik Snack,snacks,breakfast,400.0,g,191.0,jiomart,,64.0,4.0,7.0,2.0,1.0,3.0,,,"Steel Cut Rolled Oats, Mustard Oil, Jaggery",30g,7.0,,,,,,,,,,,,,,,
58,jiomart_health_fields_health_fields_organic_black_rice_1kg_pack_kavuni_arisi_rice,Health Fields Organic Black Rice - 1Kg Pack | Kavuni Arisi Rice,Health Fields,essentials,rice,1.0,kg,400.0,jiomart,,2.5,0.1,3.8,0.9,0.6,0.2,,0.1,,,,,,,,,,,,,,,,,,
59,jiomart_everest_everest_turmeric_powder_100_g,Everest Turmeric Powder 100 g,Everest,essentials,masala,100.0,g,42.0,jiomart,,2.5,0.1,0.3,0.6,0.4,0.2,,0.1,,,,,,,,,,,,,,,,,,
60,jiomart_geki_geki_nissin_korean_kimchi_noodles_80_g,Geki Nissin Korean Kimchi Noodles 80 g,Geki,noodles_pasta,noodles-pasta,80.0,g,49.0,jiomart,,35.6,8.2,4.3,10.5,1.9,0.6,250.0,2.8,,,,,,,,,,,,,,,,,,
61,jiomart_foodemporium_foodemporium_sea_salt_vastu_salt_khada_salt_aakha_namak,FoodEmporium Sea Salt | Vastu Salt | Khada Salt | Aakha Namak,Foodemporium,essentials,salt-sugar,,,140.0,jiomart,,,0.1,0.01,0.02,0.005,0.001,2.5,98.0,,,,,,,,,,,,,,,,,,
62,jiomart_ashok_ashok_easyn_lite_instant_magic_masala_macaroni_55_g_pack_of_6,Ashok Easy'n Lite Instant Magic Masala Macaroni 55 g Pack of 6,Ashok,noodles_pasta,noodles-pasta,55.0,g,115.0,jiomart,370.0,64.5,8.2,4.3,12.1,6.9,0.5,350.0,2.8,,,,,,,,,,,,,,,,,,
63,jiomart_vedic_wellness_vedic_wellness_chia_seeds_organic_high_in_calcium_superfood_for_weight_loss_1kg,VEDIC WELLNESS Chia Seeds | Organic & High in Calcium | Superfood for Weight Loss |1Kg,Vedic Wellness,essentials,dry-fruits-nuts,1.0,kg,349.0,jiomart,,37.2,1.4,5.8,12.7,6.3,10.2,,,"Chia Seeds, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
64,jiomart_mamafeast_mamafeast_muesli_fruit_and_nuts_400g,Mamafeast Muesli Fruit and Nuts 400g,Mamafeast,snacks,breakfast,400.0,g,299.0,jiomart,550.0,70.0,20.0,10.0,25.0,15.0,4.0,200.0,2.0,,30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
65,jiomart_ancient_roots_ancients_roots_vanilla_pancake_mix_high_protein_gluten_free_no_maida_100_jaggery_200g_,Ancients Roots Vanilla Pancake Mix | High Protein | Gluten Free | No Maida | 100% Jaggery | 200g | Vacuum Pack,Ancient Roots,ready_to_eat,ready-to-eat,200.0,g,199.0,jiomart,550.0,60.0,40.0,10.0,20.0,5.0,2.0,200.0,1.0,,,,,,,,,,,,,,,,,,
66,jiomart_postman_postman_wood_pressed_mustard_oil_1l_pack_of_2,Postman Wood Pressed Mustard Oil 1L Pack of 2,Postman,essentials,oil,2.0,L,540.0,jiomart,,0.0,0.0,0.0,14.3,8.6,0.0,,0.0,"Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,,,,
67,jiomart_delight_foods_delight_foods_the_grand_sweets_snacks_pavvakai_thokku_chutney_paste_500_gram,Delight Foods The Grand Sweets & Snacks Pavvakai Thokku Chutney Paste -500 gram,Delight Foods,flavourings,pickles-chutney,500.0,g,599.0,jiomart,55.0,13.5,7.8,0.4,3.2,1.6,0.5,150.0,2.0,,,,,,,,,,,,,,,,,,
68,jiomart_good_life_good_life_green_peas_500_g,Good Life Green Peas 500 g,Good Life,essentials,pulses,500.0,g,99.0,jiomart,,9.8,1.2,10.6,0.3,0.1,4.5,2.0,0.8,,,,,,,,,,,,,,,,,,
69,jiomart_ritually_pure_pink_delight_double_refined_daily_sugarmoong_sabut_moong_whole_1_kg_each_pack_of_2_2_k,Pink Delight |Double Refined Daily Sugar+Moong Sabut (Moong Whole) | 1 Kg Each | Pack of 2 | 2 Kg Pack,Ritually Pure,essentials,salt-sugar,1.0,kg,385.0,jiomart,,,20.0,,0.5,0.2,0.0,200.0,1.0,,,,,,,,,,,,,,,,,,
70,jiomart_wonderland_foods_wonderland_foods_dry_fruits_whole_raw_cashew_w320_grade_1kg_pouch_whole_crunchy_cas,WONDERLAND FOODS Dry Fruits Whole Raw Cashew W-320 Grade 1Kg Pouch Whole Crunchy Cashews,Wonderland Foods,essentials,dry-fruits-nuts,320.0,Grade,896.0,jiomart,560.0,12.2,1.5,14.3,49.8,7.4,6.2,0.5,0.3,,,,,,,,,,,,,,,,,,
