batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,product_id
38,jiomart_green_piece_green_piece_black_olives_sliced_230gm,Green Piece Black Olives Sliced .(230gm),Green Piece,ready_to_eat,ready-to-eat,230.0,g,219.0,jiomart,,,,,11.8,1.9,0.6,2.5,0.4,,,,,,,jiomart_green_piece_green_piece_black_olives_sliced_230gm
39,jiomart_bb_organics_bb_organics_authentic_kalanamak_rice_2,B&B Organics Authentic Kalanamak Rice (2),B&B Organics,essentials,rice,,,623.0,jiomart,369.0,74.2,1.8,6.5,0.9,0.4,0.2,1.0,0.3,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_bb_organics_bb_organics_authentic_kalanamak_rice_2
40,jiomart_luvit_luvit_chocwich_white_crunchy_wafers_with_layers_of_rich_white_chocolate_pack_of_2_740g_each,LuvIt Chocwich White Crunchy Wafers with Layers of Rich White Chocolate | Pack of 2 - 740g Each,Luvit,chocolate,chocolate,740.0,g,577.0,jiomart,550.0,55.0,45.0,4.0,30.0,20.0,2.0,50.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_luvit_luvit_chocwich_white_crunchy_wafers_with_layers_of_rich_white_chocolate_pack_of_2_740g_each
41,jiomart_ritually_pure_ritually_pure_100_organic_himalayan_rock_salt_withnatural_tasteminerals_1k_each_packof,Ritually Pure 100% Organic | Himalayan Rock Salt |WithNatural TasteMinerals| 1K Each | Packof 2 | 2K,Ritually Pure,essentials,salt-sugar,1.0,K,295.0,jiomart,,,,,0.5,0.2,,1.0,0.5,,,,,,,jiomart_ritually_pure_ritually_pure_100_organic_himalayan_rock_salt_withnatural_tasteminerals_1k_each_packof
42,jiomart_mothers_recipe_mothers_recipe_desi_szechwan_chutney_250_g,Mother's Recipe Desi Szechwan Chutney 250 g,Mother'S Recipe,flavourings,pickles-chutney,250.0,g,65.0,jiomart,60.0,8.2,5.6,0.3,4.1,0.7,0.2,220.0,2.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_mothers_recipe_mothers_recipe_desi_szechwan_chutney_250_g
43,jiomart_charvi_999_charvi_999_besan_1kg_natural_protein_source_from_chana_dal_pack_of_12,Charvi 999 Besan 1kg Natural Protein Source from Chana Dal Pack of 12,Charvi 999,essentials,flour,999.0,,1490.0,jiomart,369.0,74.8,2.5,18.6,4.3,1.9,2.8,0.5,0.7,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_charvi_999_charvi_999_besan_1kg_natural_protein_source_from_chana_dal_pack_of_12
44,jiomart_aakash_namkeen_aakash_namkeen_tikha_mixture_900g,Aakash Namkeen Tikha Mixture 900g,Aakash Namkeen,snacks,chips-namkeen,900.0,g,278.0,jiomart,375.0,45.5,10.2,4.1,19.8,11.3,0.5,350.0,2.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_aakash_namkeen_aakash_namkeen_tikha_mixture_900g
45,jiomart_grenera_grenera_all_variety_pack_beetroot_carrot_tomato_wheat_moringa_multi_millet_noodles_made_with,"Grenera All Variety Pack (Beetroot, Carrot, Tomato, Wheat, Moringa, Multi millet Noodles) | Made with whole wheat flour, real vegetables and millet, MSG, Maida free 6x220 Grams (20g Masala Packet)",Grenera,noodles_pasta,noodles-pasta,,g,900.0,jiomart,,37.4,3.5,6.2,1.9,0.8,2.4,3.5,2.5,"whole wheat flour, real vegetables (beetroot, carrot, tomato), millet, Moringa",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_grenera_grenera_all_variety_pack_beetroot_carrot_tomato_wheat_moringa_multi_millet_noodles_made_with
46,jiomart_pansari_pansari_daily_basmati_rice_perfect_fusion_of_nutrition_aroma_medium_grain_delicate_and_soft_,Pansari Daily Basmati Rice | Perfect Fusion of Nutrition & Aroma | Medium Grain | Delicate and Soft Grains - 10Kg,Pansari,essentials,rice,10.0,kg,699.0,jiomart,109.0,2.3,0.1,1.8,0.4,0.1,0.2,0.3,0.1,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_pansari_pansari_daily_basmati_rice_perfect_fusion_of_nutrition_aroma_medium_grain_delicate_and_soft_
47,jiomart_gramin_bytes_gramin_bytes_gramin_cold_pressed_black_mustard_oil_1l_mustard_oil_plastic_bottle,GRAMIN BYTES Gramin Cold Pressed Black Mustard Oil 1L Mustard Oil Plastic Bottle,Gramin Bytes,essentials,oil,1.0,L,425.0,jiomart,,0.1,0.01,0.02,14.8,9.5,0.1,,0.2,"Mustard Oil, Jaggery, Indian Spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_gramin_bytes_gramin_bytes_gramin_cold_pressed_black_mustard_oil_1l_mustard_oil_plastic_bottle
48,jiomart_coffeecurry_coffeecurry_arabica_roasted_coffee_beans_for_energy_and_mood_premium_arabica_whole_bean_,"COFFEECURRY Arabica Roasted Coffee Beans - For Energy and Mood | Premium Arabica Whole Bean, Medium Roasted Coffee",Coffeecurry,beverage,tea-cofee,,,189.0,jiomart,350.0,65.0,15.0,5.0,20.0,10.0,2.0,50.0,1.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_coffeecurry_coffeecurry_arabica_roasted_coffee_beans_for_energy_and_mood_premium_arabica_whole_bean_
49,jiomart_society_society_chahat_tea_1_kg_pack_rich_in_taste_refreshing_aroma_society_tea_leaf_tea,Society Chahat Tea - 1 Kg Pack | Rich in taste & Refreshing Aroma | Society Tea | Leaf Tea,Society,beverage,tea-cofee,1.0,kg,240.0,jiomart,,3.5,2.8,0.1,0.2,0.1,0.3,,0.05,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_society_society_chahat_tea_1_kg_pack_rich_in_taste_refreshing_aroma_society_tea_leaf_tea
50,jiomart_wheafree_wheafree_gluten_free_butter_sweet_cookies_pack_of_3_200g_each_soya_free_egg_free_soft_delic,Wheafree Gluten Free Butter Sweet Cookies - Pack of 3 (200g each) | Soya Free | Egg Free | Soft & Delicious Cookies | Best Tea Time Snacks | 100% Vegetarian and Wholesome Ingredients,Wheafree,snacks,biscuit,200.0,g,405.0,jiomart,,34.5,14.2,3.8,12.1,6.9,0.7,,2.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 2,jiomart_wheafree_wheafree_gluten_free_butter_sweet_cookies_pack_of_3_200g_each_soya_free_egg_free_soft_delic
